"ACTR3B","ANLN","BAG1","BCL2","BIRC5","BLVRA","CCNB1","CCNE1","CDC20","CDC6","NUF2","CDH3","CENPF","CEP55","CXXC5","EGFR","ERBB2","ESR1","EXO1","FGFR4","FOXA1","FOXC1","GPR160","GRB7","KIF2C","NDC80","KRT14","KRT17","KRT5","MAPT","MDM2","MELK","MIA","MKI67","MLPH","MMP11","MYBL2","MYC","NAT1","ORC6L","PGR","PHGDH","PTTG1","RRM2","SFRP1","SLC39A6","TMEM45B","TYMS","UBE2C","UBE2T"
0.334875,0.608167,-0.15475,-1.051125,0.9702,0.81525,0.27975,0.156625,0.3696,0.827167,0.055625,1.14675,0.077182,0.031333,1.332667,-1.414,0.660125,1.248083,0.3625,0.180833,0.23025,-1.119812,-0.949833,0.1638,0.24125,-0.657154,-0.9015,-1.228,-1.3578,0.753375,1.023833,-0.498333,-1.96075,-0.43475,-0.284875,0.904,0.494875,-0.813812,0.5694,0.341545,3.716167,0.17425,0.552667,-0.706625,-2.963625,1.8665,1.068,-0.97375,0.711125,0.1605
-0.1605,-0.138667,1.387,0.159375,0.658333,0.504,0.23825,-0.198625,0.829,1.298333,0.335375,-0.109,0.268,0.042833,0.593167,-1.0458,2.625875,-0.643,-0.0275,-0.855667,-0.205,-0.433875,-0.147333,2.8351,0.2605,0.521846,1.512643,1.8084,1.7718,0.0775,0.503417,0.590333,0.708,0.7375,0.58725,1.028167,1.128,0.004312,1.3988,-0.051909,0.7315,-0.846375,-0.089333,-0.319,0.135875,1.5741,-1.335125,-0.145375,-0.036625,-0.125167
1.0495,-2.787167,0.165,1.02125,-2.3244,-0.68675,-1.643,-1.15025,-1.4796,-1.736167,-3.38725,1.692,-2.919091,-3.144333,-1.097833,1.8644,-0.326125,-0.277,-2.00325,1.2925,-1.5245,1.63475,-0.708833,0.8582,-2.4125,-2.492,3.631357,3.5066,3.8097,-0.101,-0.104083,-2.361444,4.3905,-3.0145,-1.182375,-4.178333,-1.401375,0.899062,-2.7167,-1.218364,-0.917167,1.0705,-1.498833,-2.65225,5.44125,-0.9839,-0.240375,-1.582875,-2.410464,-2.1015
-0.09425,0.380333,0.12275,-1.241125,1.2758,0.255125,-0.51475,0.417,0.9294,0.103333,0.653875,0.8325,0.962727,1.077167,0.233167,-0.4836,3.5745,0.29275,0.32875,1.162667,0.046375,-0.497312,0.167,2.8676,0.694,1.039,-0.584714,-0.4482,-0.2896,-2.785714,-0.431667,1.208,-0.73,-0.816,0.607875,0.408,1.467,-0.753062,-1.5835,-0.254182,-2.588167,0.233,0.211333,-0.0175,-1.35,-0.826,1.158875,-0.748625,0.717875,-0.196
-0.49925,1.068,-0.11175,0.139875,1.743,-0.496625,1.6545,0.417,0.8855,0.693667,0.861125,-0.90525,1.210909,0.728667,0.783667,-1.0003,-0.573,0.292417,1.11975,-0.678333,-0.202125,-0.699313,-0.520667,-0.9778,0.427,1.191462,0.128857,-0.6786,0.5285,-0.297,0.210917,1.760778,0.232,0.294,-0.69275,-1.231,0.880875,0.419187,1.8865,-0.037,1.859167,1.0635,1.426167,0.43825,0.95075,-0.2017,-0.875375,0.2,1.34725,1.183167
0.11825,0.8945,0.6035,-0.5625,1.131333,0.813125,1.13325,-0.49,1.4013,0.969,0.559375,1.08625,0.826545,0.875833,0.923,-1.3901,-0.74375,1.641417,0.582,0.3415,0.754625,-0.436937,0.1815,0.1163,1.223,1.319692,-0.7035,-2.6684,-2.5033,0.225375,-0.27725,1.009111,-2.067,0.57475,1.2505,-1.097667,0.400875,-1.115062,-1.7051,0.914091,2.184,0.887875,1.351333,1.773125,-4.0315,1.1016,2.65475,2.173625,1.1395,0.749167
-0.14,1.470167,-1.22175,-3.784125,0.617067,-0.002625,-0.038,0.574375,1.2152,0.55,0.77525,2.09975,1.517,1.217667,-1.466667,2.8949,-0.177125,-5.6745,1.464,0.265,-0.711625,1.02575,-2.937667,0.1772,1.838,1.527231,-0.615786,1.4286,1.5426,-2.1615,0.042167,1.271,0.35175,1.4275,-0.96675,-0.584833,1.595,-0.224875,-2.9618,1.362273,-2.8135,1.843625,0.428833,0.313,2.692,-1.7038,1.0515,0.740875,0.951,0.6025
1.01825,2.248167,-1.01125,-1.702375,1.898667,-1.558125,0.85175,3.977625,2.5956,1.566333,2.141375,2.73775,1.470091,1.716167,-1.3885,1.0462,-1.065375,-4.78975,2.12675,0.9595,-9.259875,3.2335,-3.671167,0.6579,2.16275,1.359462,-1.115857,-1.0162,-1.6646,-2.128125,0.334917,1.614111,1.85075,0.64825,-4.84675,-0.594167,1.61125,2.818625,-4.3372,1.950818,-3.287333,0.72325,0.8335,0.745125,1.142375,-2.2848,-2.563875,1.67625,1.4345,1.782833
-0.36175,1.458167,-0.44275,-0.403125,2.459533,0.57225,1.036,1.6965,0.3688,0.6335,0.94575,-1.90725,-0.128909,2.041833,0.815,-0.6238,-0.481125,1.276083,0.558,0.524333,-0.028375,1.034625,0.496667,-0.2841,0.81525,0.952077,-0.471143,-0.9796,-0.319,-1.89575,1.045417,0.645111,-0.6795,1.5425,-1.0285,-0.6795,2.52725,0.14125,-2.774,1.185455,-2.7215,-1.432625,0.128,1.95325,-0.82125,0.8231,-0.432375,1.882875,0.629375,0.252833
0.198375,-0.205167,1.73175,2.07625,-0.023867,0.6105,-0.34675,0.491875,-0.3582,0.099167,-0.793625,0.5555,-0.896455,0.152333,0.430667,-0.5804,0.49875,1.869083,-0.27675,-0.961667,0.40875,-0.495313,0.428667,0.2626,-0.05225,0.475692,-2.090643,-2.2399,-2.2005,1.5865,-0.477667,0.103556,-2.054,0.673,-0.040875,0.551667,0.28525,-0.569375,-0.2136,-0.052091,-1.735667,-0.440875,-0.374,-0.110375,-0.708875,4.1618,0.838375,1.760875,-0.50275,-0.734
-0.335625,-0.434333,1.41225,1.074125,-1.125867,-0.659125,-0.559,-0.33225,-0.4087,-0.906833,-1.16575,1.164,-0.718455,-0.667,-0.2395,0.6569,0.146125,0,-0.40525,-0.6225,-0.05925,0.4575,-0.28,0.3009,-0.57125,-0.463846,2.385,2.2605,2.5737,0.93425,-0.333833,-0.696333,3.0245,-0.55375,-0.2485,0.021,-0.361625,0.351187,2.3312,-0.769091,3.564333,-0.48775,-0.4395,-0.82625,3.249375,-0.0177,-0.96925,-0.324,-0.616625,0.183667
0.471375,1.796833,1.62525,-2.84425,1.6036,-0.77875,1.944,2.076375,2.0211,0.354667,0.8975,1.62,1.378182,1.689,-1.123833,2.986,3.0825,-4.42475,0.9905,0.428667,-4.148625,4.109813,-2.8125,2.6765,1.57475,1.539923,3.106429,3.8344,3.8525,-1.850125,0.2015,1.411889,4.444,1.09125,-3.925375,-0.4715,1.239,0.908562,-5.4645,1.399,-3.341,0.8965,1.326,0.738375,0.598375,-1.922,0.27275,0.393875,1.5645,0.8865
1.978125,0.814,0.3375,0.1815,1.181467,-1.0185,0.45275,2.6495,1.2876,0.68,0.737625,0.27225,0.593273,2.112167,-1.777,1.6452,-1.70575,-6.358917,1.02225,1.067333,-6.41975,3.1655,-3.764667,0.3209,1.09975,0.810769,0.349929,0.3471,3.6598,-2.549,-0.132667,1.471,4.36825,0.508,-2.9555,-0.3545,0.854625,1.378562,-3.0938,1.158,-3.274,2.2895,0.575,0.168625,3.656,-2.8426,-2.042625,0.81275,1.286125,0.780833
-0.906375,-0.4445,0.02775,0.34325,-0.3268,1.131,0.71575,-0.555375,0.5831,-0.033667,0.033875,-1.934,0.299364,-0.2365,1.085333,-1.3392,0.632125,1.5095,-0.29675,-0.183167,0.702125,-1.546312,-1.050833,1.0384,-0.03575,-0.131231,-2.266357,-2.2896,-2.2465,0.789375,1.1295,-0.710667,-1.99575,0.06925,0.791,0.391167,0.123125,0.405438,2.0522,-0.478455,1.848,-1.849125,-0.008667,-0.9735,-2.777875,-0.1925,0.148,-0.015875,0.210375,-0.501
